rank,pokemon,usage_pct,raw_usage,raw_pct,real,real_pct
1,Landorus-Therian,25.70491,676929,25.705,578442,28.881
2,Ferrothorn,16.04671,422584,16.047,357307,17.840
3,Greninja-Ash,15.52261,408782,15.523,294543,14.706
4,TapuKoko,13.93075,366861,13.931,289156,14.437
5,Heatran,13.65047,359480,13.650,293541,14.656
6,Kartana,11.73706,309091,11.737,224690,11.218
7,Magearna,11.05214,291054,11.052,228432,11.405
8,Garchomp,10.01651,263781,10.017,205887,10.280
9,Gliscor,9.98792,263028,9.988,201895,10.080
10,Toxapex,9.93650,261674,9.937,201775,10.074
11,Rotom-Wash,9.29605,244808,9.296,203326,10.152
12,Serperior,9.20366,242375,9.204,175073,8.741
13,TapuLele,8.79637,231649,8.796,172285,8.602
14,Zapdos,8.63172,227313,8.632,180377,9.006
15,Greninja,8.49608,223741,8.496,168158,8.396
16,Excadrill,7.76730,204549,7.767,157192,7.848
17,Volcarona,7.66975,201980,7.670,143759,7.178
18,Chansey,7.47123,196752,7.471,147612,7.370
19,Tornadus-Therian,7.14626,188194,7.146,144816,7.230
20,TapuFini,7.08303,186529,7.083,151423,7.560
21,Celesteela,6.68641,176084,6.686,137495,6.865
22,Hawlucha,6.42280,169142,6.423,115416,5.763
23,Charizard-Mega-X,6.34647,167132,6.346,124416,6.212
24,TapuBulu,6.22306,163882,6.223,123574,6.170
25,Clefable,6.19789,163219,6.198,118923,5.938
26,Alakazam-Mega,6.06187,159637,6.062,104819,5.233
27,Tyranitar,6.02481,158661,6.025,122836,6.133
28,Magnezone,5.97324,157303,5.973,121394,6.061
29,Victini,5.96595,157111,5.966,118906,5.937
30,Kommo-o,5.80137,152777,5.801,112210,5.602
31,Lopunny-Mega,5.55345,146248,5.553,111042,5.544
32,Skarmory,5.38140,141717,5.381,117252,5.854
33,Pelipper,5.32349,140192,5.323,127706,6.376
34,Charizard-Mega-Y,5.29725,139501,5.297,108858,5.435
35,Medicham-Mega,5.26470,138644,5.265,107844,5.384
36,Swampert-Mega,5.22609,137627,5.226,110775,5.531
37,Scizor-Mega,5.21838,137424,5.218,104130,5.199
38,Mawile-Mega,4.95386,130458,4.954,95495,4.768
39,Azumarill,4.77053,125630,4.771,93729,4.680
40,Blacephalon,4.69132,123544,4.691,88060,4.397
41,Tangrowth,4.59217,120933,4.592,91770,4.582
42,Dragonite,4.58792,120821,4.588,86621,4.325
43,Kyurem-Black,4.55666,119998,4.557,88105,4.399
44,Jirachi,4.20105,110633,4.201,82322,4.110
45,Venusaur-Mega,3.87984,102174,3.880,78537,3.921
46,Mimikyu,3.86442,101768,3.864,71321,3.561
47,Tyranitar-Mega,3.64486,95986,3.645,72284,3.609
48,Diancie-Mega,3.58520,94415,3.585,75530,3.771
49,Sableye-Mega,3.49821,92124,3.498,79291,3.959
50,Weavile,3.35957,88473,3.360,64055,3.198
51,Gyarados-Mega,3.29646,86811,3.296,65163,3.253
52,Breloom,3.00574,79155,3.006,59024,2.947
53,Keldeo,2.86926,75561,2.869,56501,2.821
54,Gengar,2.86425,75429,2.864,52959,2.644
55,Bisharp,2.64644,69693,2.646,49160,2.454
56,Infernape,2.61287,68809,2.613,52406,2.617
57,Gyarados,2.58458,68064,2.585,50872,2.540
58,Salamence,2.51578,66252,2.516,47435,2.368
59,Beedrill-Mega,2.40254,63270,2.403,47459,2.370
60,Pinsir-Mega,2.29265,60376,2.293,41890,2.091
61,Cloyster,2.24947,59239,2.249,44262,2.210
62,Zeraora,2.16551,57028,2.166,42424,2.118
63,Mew,2.11828,55784,2.118,42981,2.146
64,Ninetales-Alola,2.11634,55733,2.116,44453,2.219
65,Ditto,2.05744,54182,2.057,38909,1.943
66,Snorlax,2.04062,53739,2.041,38945,1.944
67,Togekiss,1.98624,52307,1.986,38031,1.899
68,Scizor,1.96460,51737,1.965,38410,1.918
69,Hydreigon,1.93916,51067,1.939,37719,1.883
70,Latias-Mega,1.93479,50952,1.935,37214,1.858
