name,type1,type2,abilities,attack,defense,hp,sp_attack,sp_defense,speed,generation,pokedex_number,2016-11,2016-12,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06
Bulbasaur,grass,poison,"['Overgrow', 'Chlorophyll']",49,49,45,65,65,45,1,1,0.00074,,0.03461,0.02797,0.02382,0.0272,0.01682,0.01843,0.02595,0.03974,0.02511,0.0208,0.02069,0.02855,0.01648,0.02311,0.01988,0.01725,0.01794,0.0253,0.01559,0.01734,0.01399,0.03277,0.02829,0.02683,0.02314,0.02509,0.0223,0.01944,0.01551,0.02139,0.0165,0.0293,0.02045,0.02795,0.03789,0.03421,0.06302,0.05264,0.06056,0.0222,0.02383,0.04321,0.04417,0.03563,0.03771,0.02933,0.03967,0.0249,0.03527,0.02879,0.03378,0.03517,0.0376,0.03142,0.04389,0.05165,0.03082,0.03361,0.02527,0.03349,0.05667,0.01827,0.02346,0.01749,0.03871,0.0127,0.02207,0.02294,0.01961,0.03216,0.0122,0.01797,0.03031,0.02132,0.01944,0.03856,0.01575
Ivysaur,grass,poison,"['Overgrow', 'Chlorophyll']",62,63,60,80,80,60,1,2,0.00097,,0.00877,0.01019,0.01065,0.01153,0.00646,0.01171,0.01033,0.01352,0.00891,0.01092,0.01086,0.00977,0.01123,0.01396,0.01542,0.01103,0.01656,0.01505,0.02054,0.01797,0.01732,0.02527,0.02354,0.02169,0.02175,0.01733,0.02847,0.02013,0.01734,0.0181,0.01273,0.02084,0.03239,0.04018,0.01329,0.02444,0.04198,0.05683,0.03729,0.01896,0.01197,0.01855,0.02084,0.01929,0.0304,0.01607,0.0151,0.02353,0.02183,0.04048,0.02217,0.0266,0.01288,0.01433,0.01507,0.01594,0.01158,0.0239,0.01316,0.03202,0.00558,0.05025,0.02307,0.03032,0.06745,0.02575,0.0091,0.00765,0.00792,0.00984,0.01017,0.00751,0.03697,0.01302,0.00499,0.00191,0.00463
Venusaur,grass,poison,"['Overgrow', 'Chlorophyll']",100,123,80,122,120,80,1,3,0.04425,,0.99016,0.97451,0.89342,1.12268,1.02873,0.89334,0.92881,0.97994,0.97703,0.8017,0.78573,0.94346,1.00323,0.98483,0.98212,0.99975,1.07955,0.93776,0.91757,0.97033,1.13316,1.15743,1.0712,1.23751,1.2563,1.09219,1.06142,1.07328,1.05697,1.11976,1.17002,1.42118,1.4985,1.60336,1.83298,1.74389,1.89236,1.74093,1.79848,1.84136,1.77656,1.76807,1.81651,1.84293,1.99035,2.00136,1.89255,1.88023,1.63743,1.56226,1.57472,1.49181,1.74601,1.82667,1.62228,1.84764,1.76369,1.6015,1.63142,1.7375,1.72326,1.64481,1.34682,1.33558,1.50314,1.36292,1.5599,1.34951,1.43368,1.89932,1.85906,1.24737,1.23153,1.30983,1.23125,1.18794,1.43387
Charmander,fire,,"['Blaze', 'Solar Power']",52,43,39,60,50,65,1,4,0.00051,,0.0143,0.01304,0.01427,0.01086,0.01,0.01514,0.01261,0.01057,0.00927,0.01097,0.00997,0.01325,0.00992,0.01472,0.009,0.01034,0.00807,0.00828,0.00764,0.00666,0.00766,0.01697,0.00911,0.00626,0.00809,0.00769,0.00644,0.01105,0.00787,0.00762,0.00703,0.00696,0.00923,0.0112,0.01266,0.00911,0.02001,0.01635,0.01733,0.01353,0.00874,0.01688,0.01544,0.01351,0.01693,0.01739,0.02013,0.01259,0.00766,0.01568,0.01483,0.01086,0.01062,0.01091,0.01463,0.00781,0.01372,0.02195,0.00627,0.02486,0.02855,0.00933,0.00736,0.00972,0.00215,0.00688,0.00573,0.00401,0.00717,0.01444,0.00457,0.00536,0.03197,0.01191,0.00446,0.01258,0.01606
Charmeleon,fire,,"['Blaze', 'Solar Power']",64,58,58,80,65,80,1,5,0.00046,,0.00891,0.01304,0.0127,0.00729,0.00922,0.01323,0.01116,0.01453,0.01008,0.00871,0.0103,0.01036,0.0094,0.0093,0.0103,0.00619,0.00674,0.00762,0.00764,0.00542,0.00653,0.00915,0.01037,0.01412,0.00796,0.00632,0.00453,0.00946,0.00708,0.00562,0.00631,0.00564,0.00718,0.0101,0.01484,0.00889,0.01564,0.01232,0.01614,0.00721,0.00531,0.0211,0.00777,0.014,0.01809,0.01032,0.02146,0.01272,0.01084,0.03662,0.01175,0.01345,0.0101,0.01042,0.00635,0.00515,0.0098,0.01399,0.01712,0.01053,0.01116,0.02798,0.00557,0.0033,0.00215,0.00459,0.00236,0.00612,0.0066,0.00547,0.00254,0.00483,0.003,0.00471,0.00158,0.06208,0.02162
Charizard,fire,flying,"['Blaze', 'Solar Power']",104,78,78,159,115,100,1,6,0.04448,,0.42889,0.38071,0.40452,0.35759,0.37987,0.38707,0.41934,0.40395,0.4376,0.33928,0.35212,0.34892,0.36947,0.35095,0.37357,0.36754,0.38833,0.33721,0.35502,0.31311,0.32229,0.37006,0.35507,0.34248,0.3039,0.29351,0.2859,0.33145,0.27815,0.31682,0.33022,0.31257,0.31562,0.39169,0.71739,0.64165,0.92216,0.74804,0.72524,0.6127,0.57432,0.64789,0.61741,0.58069,0.52825,0.61322,0.66321,0.58561,0.59886,0.57507,0.51487,0.50486,0.53848,0.68746,0.5382,0.51464,0.55726,0.57975,0.56177,0.52559,0.48233,0.5128,0.50747,0.40081,0.47139,0.44002,0.43171,0.46819,0.48104,0.48019,0.63256,0.48479,0.44659,0.44695,0.4084,0.47966,0.50987
Squirtle,water,,"['Torrent', 'Rain Dish']",48,65,44,50,64,43,1,7,0.00137,,0.02936,0.0289,0.0206,0.01978,0.01792,0.02084,0.02247,0.03345,0.02633,0.01997,0.0205,0.0275,0.01509,0.02166,0.02054,0.01488,0.01697,0.02227,0.01562,0.01872,0.01296,0.02391,0.0203,0.02071,0.01574,0.0161,0.01486,0.01136,0.01499,0.01496,0.01425,0.02433,0.01691,0.02404,0.04142,0.03732,0.05464,0.03588,0.04544,0.02796,0.01842,0.03899,0.03662,0.0285,0.03104,0.02344,0.02857,0.0275,0.02949,0.03508,0.0326,0.03104,0.03412,0.02263,0.02778,0.02009,0.02173,0.01943,0.02548,0.03665,0.03671,0.0177,0.01929,0.01866,0.03949,0.01323,0.01213,0.02084,0.01358,0.02516,0.02414,0.01314,0.02997,0.02575,0.02285,0.01531,0.01143
Wartortle,water,,"['Torrent', 'Rain Dish']",63,80,59,65,80,58,1,8,0.00239,,0.0264,0.02582,0.02086,0.03065,0.02172,0.02439,0.02801,0.0271,0.01889,0.01228,0.0238,0.02084,0.01601,0.02259,0.02375,0.01276,0.02058,0.01391,0.01338,0.01255,0.0132,0.01305,0.01801,0.01056,0.0197,0.01408,0.01462,0.01447,0.01757,0.02045,0.02104,0.01721,0.01227,0.01743,0.02014,0.03876,0.03807,0.02196,0.01911,0.01872,0.01665,0.0281,0.05723,0.02359,0.04759,0.02196,0.03967,0.02299,0.03527,0.02339,0.02262,0.01345,0.043,0.01074,0.01138,0.01295,0.01283,0.00952,0.02694,0.02549,0.02104,0.0099,0.01551,0.00622,0.00802,0.02822,0.00842,0.00975,0.00981,0.01991,0.01982,0.01394,0.02265,0.00526,0.01471,0.03008,0.01266
Blastoise,water,,"['Torrent', 'Rain Dish']",103,120,79,135,115,78,1,9,0.02639,,0.48933,0.55181,0.58525,0.50543,0.55667,0.53467,0.54311,0.54972,0.5243,0.41584,0.42276,0.43026,0.43393,0.48107,0.46526,0.41891,0.43189,0.461,0.42912,0.40068,0.43788,0.4318,0.46392,0.44247,0.34691,0.38723,0.37101,0.37238,0.35831,0.3823,0.34837,0.39095,0.37771,0.47109,0.77729,0.75494,0.94385,0.70688,0.59697,0.5781,0.55038,0.65622,0.57381,0.56656,0.6487,0.76357,0.5898,0.63007,0.54509,0.4801,0.56142,0.45227,0.66191,0.693,0.5215,0.63736,0.60179,0.52923,0.49369,0.51253,0.51518,0.49205,0.47327,0.38643,0.35311,0.34391,0.35338,0.39612,0.3694,0.43119,0.48974,0.51643,0.36367,0.53252,0.39422,0.41622,0.56576
Caterpie,bug,,"['Shield Dust', 'Run Away']",30,35,45,20,20,45,1,10,0.00102,0.01416,0.01496,0.01076,0.01365,0.0121,0.00776,0.00718,0.00664,0.00668,0.00647,0.0093,0.00888,0.00578,0.00614,0.0057,0.00601,0.00747,0.0095,0.00495,0.00656,0.00607,0.00816,0.00619,0.00749,0.0071,0.00629,0.00342,0.00486,0.0069,0.00402,0.00549,0.00301,0.0051,0.00449,0.00592,0.0081,0.00489,0.01582,0.01023,0.0051,0.00357,0.00354,0.00655,0.01363,0.00541,0.00487,0.00811,0.00385,0.00342,0.00535,0.00643,0.00617,0.00673,0.01462,0.00716,0.00429,0.00864,0.00445,0.00447,0.0023,0.00485,0.00386,0.00152,0.01114,0.00583,0.00176,0.00617,0.00472,0.00382,0.00207,0.00372,0.00254,0.00349,0.00999,0.00443,,0.00629,0.00124
Metapod,bug,,['Shed Skin'],20,55,50,25,25,30,1,11,0.00148,0.00188,0.00999,0.00757,0.00648,0.00901,0.00672,0.00572,0.00487,0.00668,0.00658,0.0069,0.00865,0.00698,0.00564,0.0064,0.00399,0.00829,0.0082,0.00731,0.00533,0.00596,0.00976,0.00811,0.0064,0.00895,0.00638,0.00544,0.00825,0.00697,0.00514,0.00365,0.00363,0.00414,0.00696,0.00653,0.0137,0.00955,0.01173,0.00788,0.00476,0.00559,0.0052,0.00666,0.00946,0.00639,0.005,0.00486,0.004,0.00958,0.00463,0.00578,0.0138,0.01055,0.00557,0.00391,0.00399,0.0093,0.00338,0.00486,0.00376,0.0059,0.0015,0.00114,0.00099,0.00175,0.00684,0.00494,0.00539,0.00096,0.00132,0.00175,0.00432,0.00509,0.002,0.00055,0.00026,0.00273,0.00401
