 Total battles: 239423
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 20.49532% | 98141  | 20.495% | 83445  | 23.216% | 
 | 2    | Greninja-Ash       | 15.50749% | 74257  | 15.507% | 53683  | 14.936% | 
 | 3    | Ferrothorn         | 13.89800% | 66550  | 13.898% | 55451  | 15.428% | 
 | 4    | Heatran            | 12.34468% | 59112  | 12.345% | 47434  | 13.197% | 
 | 5    | Tapu Koko          | 11.97629% | 57348  | 11.976% | 46191  | 12.851% | 
 | 6    | Gliscor            | 11.89631% | 56965  | 11.896% | 43089  | 11.988% | 
 | 7    | Kartana            | 10.08028% | 48269  | 10.080% | 34387  |  9.567% | 
 | 8    | Chansey            |  9.49240% | 45454  |  9.492% | 34784  |  9.678% | 
 | 9    | Magearna           |  9.24264% | 44258  |  9.243% | 34740  |  9.666% | 
 | 10   | Serperior          |  9.20150% | 44061  |  9.201% | 31810  |  8.850% | 
 | 11   | Garchomp           |  9.00039% | 43098  |  9.000% | 32180  |  8.953% | 
 | 12   | Toxapex            |  8.70426% | 41680  |  8.704% | 32073  |  8.923% | 
 | 13   | Rotom-Wash         |  8.65372% | 41438  |  8.654% | 34078  |  9.481% | 
 | 14   | Excadrill          |  7.55922% | 36197  |  7.559% | 27943  |  7.774% | 
 | 15   | Clefable           |  7.41157% | 35490  |  7.412% | 25289  |  7.036% | 
 | 16   | Greninja           |  7.04360% | 33728  |  7.044% | 24724  |  6.879% | 
 | 17   | Skarmory           |  6.76313% | 32385  |  6.763% | 26846  |  7.469% | 
 | 18   | Tornadus-Therian   |  6.72534% | 32204  |  6.725% | 24785  |  6.896% | 
 | 19   | Zapdos             |  6.69464% | 32057  |  6.695% | 25366  |  7.057% | 
 | 20   | Tapu Lele          |  6.64347% | 31812  |  6.643% | 24007  |  6.679% | 
 | 21   | Charizard-Mega-X   |  6.63199% | 31757  |  6.632% | 23339  |  6.493% | 
 | 22   | Volcarona          |  6.52548% | 31247  |  6.525% | 21769  |  6.057% | 
 | 23   | Hawlucha           |  6.32500% | 30287  |  6.325% | 20241  |  5.632% | 
 | 24   | Pelipper           |  6.27237% | 30035  |  6.272% | 27149  |  7.554% | 
 | 25   | Tapu Fini          |  6.08525% | 29139  |  6.085% | 24046  |  6.690% | 
 | 26   | Swampert-Mega      |  5.58697% | 26753  |  5.587% | 21518  |  5.987% | 
